,open,high,low,close,prev_close,volume,turnover,vwap,trades,daily_return,log_return,price_range,volatility_30d,volatility_90d,decade,year,month,RSI,PE_Ratio,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,RSI_14,BB_mid,BB_upper,BB_lower,BB_width,BB_squeeze,MACD,MACD_signal,MACD_hist
1994-11-04,375.0,400.0,375.0,396.0,,42650.0,16928112.5,396.91,,0.0,0.0,25.0,,,1990s,1994,11,,,,,,396.0,396.0,,,,,,False,0.0,0.0,0.0
1994-11-07,396.0,398.25,393.0,395.5,396.0,58700.0,23214812.5,395.48,,-0.0012626262626262,-0.001263424046772,5.25,,,1990s,1994,11,,,,,,395.95238095238096,395.98039215686276,0.0,,,,,False,-0.0398860398860279,-0.00797720797720558,-0.03190883190882232
1994-11-08,398.0,398.75,393.0,396.0,395.5,49050.0,19373862.5,394.98,,0.0012642225031604,0.0012634240467719,5.75,,,1990s,1994,11,,,,,,395.95691609977325,395.9811610918877,7.142857142857139,,,,,False,-0.03079520458436491,-0.012540807298637446,-0.018254397285727465
1994-11-09,399.0,399.0,385.75,387.0,396.0,57500.0,22520075.0,391.65,,-0.0227272727272727,-0.0229895182246987,13.25,,,1990s,1994,11,,,,,,395.1038764712234,395.6289586961274,2.9953917050691388,,,,,False,-0.7412705307202714,-0.15828675198296424,-0.5829837787373071
1994-11-10,387.0,390.0,380.0,380.5,387.0,67250.0,25848275.0,384.36,,-0.0167958656330748,-0.0169385157280412,10.0,,,1990s,1994,11,,,,,,393.71303109301164,395.0356661982401,2.0634920634920633,,,,,False,-1.807981734607722,-0.4882257485079158,-1.3197559860998063
1994-11-11,371.0,378.5,369.5,372.75,380.5,65000.0,24352125.0,374.65,,-0.0203679369250985,-0.0205782236568927,9.0,,,1990s,1994,11,,,,,,391.71655194129625,394.16171850419147,1.4744768526597056,,,,,False,-3.241353968598048,-1.0388513925259424,-2.2025025760721055
1994-11-14,373.0,373.0,358.0,361.5,372.75,30450.0,11131575.0,365.57,,-0.0301810865191146,-0.0306459120460283,15.0,,,1990s,1994,11,,,,,,388.83878508974425,392.8808667981448,1.0195310464177254,,,,,False,-5.224863793307293,-1.8760538726822125,-3.3488099206250803
1994-11-15,360.0,364.0,356.75,361.25,361.5,66900.0,24149512.5,360.98,,-0.0006915629322268,-0.0006918021721774,7.25,,,1990s,1994,11,,,,,,386.2112817478639,391.64044064919796,1.0120579726894618,,,,,False,-6.739296119865173,-2.848702322118805,-3.8905937977463685
1994-11-16,364.25,377.0,363.0,373.75,361.25,72800.0,26905562.5,369.58,,0.0346020761245675,0.0340168852782543,14.0,,,1990s,1994,11,,,,,,385.02449300997205,390.9388547413863,29.02500823513151,,,,,False,-6.851865080902087,-3.6493348738754614,-3.2025302070266255
1994-11-17,377.0,390.0,373.75,387.5,373.75,88850.0,33970050.0,382.33,,0.0367892976588628,0.0361287240885054,16.25,,,1990s,1994,11,,,,,,385.2602555804509,390.8039976927045,46.8447095077154,,,,,False,-5.765110106433497,-4.072489920387069,-1.6926201860464278
1994-11-18,377.0,390.0,373.75,387.5,373.75,88850.0,33970050.0,382.33,,0.0,0.0,16.25,,,1990s,1994,11,,,,,,385.473564572789,390.6744291557357,46.8447095077154,,,,,False,-4.8479646408933945,-4.2275848644883345,-0.62037977640506
1994-11-21,385.0,387.0,377.5,378.25,387.5,30350.0,11603637.5,382.33,,-0.0238709677419355,-0.0241604961249364,9.5,,,1990s,1994,11,,,,,,384.78560604204716,390.1871966398245,39.17154999665256,,,,,False,-4.812047656314803,-4.344477422853628,-0.4675702334611751
