,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,Cumulative_Return_%,MA_20,MA_50
32,1994-11-03,RELIANCE,375.0,400.0,375.0,396.0,,42650,16928112.5,396.91,,,,,
33,1994-11-07,RELIANCE,396.0,398.25,393.0,395.5,396.0,58700,23214812.5,395.48,,-0.12626262626262627,-0.12626262626262985,,
34,1994-11-08,RELIANCE,398.0,398.75,393.0,396.0,395.5,49050,19373862.5,394.98,,0.12642225031605564,-1.4210854715202004e-14,,
35,1994-11-09,RELIANCE,399.0,399.0,385.75,387.0,396.0,57500,22520075.0,391.65,,-2.272727272727273,-2.2727272727272805,,
36,1994-11-10,RELIANCE,387.0,390.0,380.0,380.5,387.0,67250,25848275.0,384.36,,-1.6795865633074936,-3.9141414141414117,,
37,1994-11-11,RELIANCE,371.0,378.5,369.5,372.75,380.5,65000,24352125.0,374.65,,-2.036793692509855,-5.871212121212125,,
38,1994-11-14,RELIANCE,373.0,373.0,358.0,361.5,372.75,30450,11131575.0,365.57,,-3.0181086519114686,-8.712121212121218,,
39,1994-11-15,RELIANCE,360.0,364.0,356.75,361.25,361.5,66900,24149512.5,360.98,,-0.06915629322268327,-8.775252525252526,,
40,1994-11-16,RELIANCE,364.25,377.0,363.0,373.75,361.25,72800,26905562.5,369.58,,3.4602076124567476,-5.618686868686865,,
41,1994-11-17,RELIANCE,377.0,390.0,373.75,387.5,373.75,88850,33970050.0,382.33,,3.678929765886288,-2.1464646464646364,,
4,1994-11-17,RELIANCE,377.0,390.0,373.75,387.5,373.75,88850,33970050.0,382.33,,3.678929765886288,1.4534981926286292,,
5,1994-11-21,RELIANCE,385.0,387.0,377.5,378.25,387.5,30350,11603637.5,382.33,,-2.3870967741935485,-0.9682949900341242,,
6,1994-11-22,RELIANCE,381.0,381.25,370.0,371.0,378.25,27700,10321387.5,372.61,,-1.9167217448777263,-2.866457214283301,,
7,1994-11-23,RELIANCE,375.0,375.0,367.0,367.25,371.0,25300,9345100.0,369.37,,-1.0107816711590296,-3.848265261308754,,
8,1994-11-24,RELIANCE,370.0,379.0,369.0,378.0,367.25,54500,20394975.0,374.22,,2.9271613342409806,-1.0337488598358249,,
9,1994-11-25,RELIANCE,381.0,384.0,378.0,379.5,378.0,36900,14058137.5,380.98,,0.3968253968253968,-0.6410256410256494,,
10,1994-11-28,RELIANCE,377.5,385.0,374.0,383.0,379.5,6000,2288825.0,381.47,,0.922266139657444,0.2753285361980886,,
11,1994-11-29,RELIANCE,385.0,387.0,380.0,380.5,383.0,77400,29635562.5,382.89,,-0.6527415143603132,-0.379210161818861,,
12,1994-11-30,RELIANCE,382.0,382.0,379.0,380.25,380.5,21950,8356250.0,380.69,,-0.0657030223390276,-0.4446640316205617,,
13,1994-12-01,RELIANCE,378.5,381.75,378.0,379.0,380.25,42800,16267050.0,380.07,,-0.3287310979618672,-0.7719333806290365,379.8,
14,1994-12-02,RELIANCE,376.75,377.0,372.5,374.25,379.0,10700,4012387.5,374.99,,-1.2532981530343008,-2.0155569068612493,378.7125,
15,1994-12-05,RELIANCE,373.5,382.5,369.5,380.25,374.25,55800,21084212.5,377.85,,1.6032064128256511,-0.44466403162054746,377.95,
16,1994-12-06,RELIANCE,378.0,380.0,371.0,372.5,380.25,47800,17975962.5,376.07,,-2.0381328073635765,-2.4737339954731254,376.775,
17,1994-12-07,RELIANCE,373.0,373.0,364.0,366.25,372.5,40950,15106675.0,368.91,,-1.6778523489932886,-4.110080740515528,375.7375,
18,1994-12-08,RELIANCE,363.5,363.5,359.0,361.0,366.25,29900,10796175.0,361.08,,-1.4334470989761092,-5.484612006351142,374.7625,
19,1994-12-09,RELIANCE,360.0,365.0,358.5,363.0,361.0,48600,17618050.0,362.51,,0.554016620498615,-4.9609810479375795,374.275,
20,1994-12-12,RELIANCE,355.0,355.5,344.0,347.0,363.0,54750,19063100.0,348.18,,-4.40771349862259,-9.150028715246123,373.55,
21,1994-12-13,RELIANCE,345.0,346.0,329.0,332.75,347.0,55800,18709175.0,335.29,,-4.106628242074928,-12.880899293942775,372.125,
22,1994-12-14,RELIANCE,333.0,342.5,332.25,336.5,332.75,107100,36209625.0,338.09,,1.1269722013523666,-11.89909124691735,370.2625,
23,1994-12-15,RELIANCE,336.0,347.0,336.0,344.75,336.5,84000,28523985.0,339.57,,2.4517087667161963,-9.7391135434614,368.125,
24,1994-12-16,RELIANCE,345.0,350.0,342.75,344.0,344.75,65750,22758182.5,346.13,,-0.21754894851341552,-9.935475152866474,365.95,
25,1994-12-19,RELIANCE,345.0,345.0,338.0,338.5,344.0,26200,8927947.5,340.76,,-1.5988372093023258,-11.375460288503788,363.9625,
26,1994-12-20,RELIANCE,342.0,342.0,337.5,339.5,338.5,26450,8971345.0,339.18,,0.29542097488921715,-11.113644809297014,362.3875,
27,1994-12-21,RELIANCE,337.0,344.0,337.0,343.0,339.5,34100,11656512.5,341.83,,1.0309278350515463,-10.197290632073262,361.175,
