order,p,d,q,AIC,BIC
"(2,1,2)",2,1,2,11913.078570826121,11938.436437647179
"(0,1,0)",0,1,0,11914.405514379521,11919.477087743733
"(1,1,0)",1,1,0,11916.281192578372,11926.424339306795
"(0,1,1)",0,1,1,11916.284155452508,11926.427302180931
"(3,1,3)",3,1,3,11916.775440692245,11952.276454241726
"(0,1,3)",0,1,3,11917.471912745797,11937.758206202643
"(3,1,0)",3,1,0,11917.825371864892,11938.111665321738
"(2,1,0)",2,1,0,11918.079184652353,11933.293904744987
"(0,1,2)",0,1,2,11918.096682545789,11933.311402638423
"(1,1,1)",1,1,1,11918.28265186742,11933.497371960053
"(1,1,3)",1,1,3,11919.347954677633,11944.70582149869
"(1,1,2)",1,1,2,11919.662427039066,11939.948720495911
"(3,1,1)",3,1,1,11919.662829821327,11945.020696642385
"(2,1,1)",2,1,1,11919.715305111704,11940.00159856855
"(2,1,3)",2,1,3,11919.947847293712,11950.377287478981
"(3,1,2)",3,1,2,11920.02839939631,11950.457839581579
